index,model,folds,class,test_set_precision,test_set_recall,test_set_micro_precision,test_set_micro_recall,test_accuracy,validation_set_precision,validation_set_recall,validation_set_micro_precision,validation_set_micro_recall,validation_accuracy
0,Logistic Regression: Full Dataset Raw,4,business,0.8786565730196203,0.966931216931217,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.8854780696003359,0.9471247563352827,0.827607220039438,0.827607220039438,0.827607220039438
1,Logistic Regression: Full Dataset Raw,4,cnn,0.0,0.0,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.0,0.0,0.827607220039438,0.827607220039438,0.827607220039438
2,Logistic Regression: Full Dataset Raw,4,entertainment,0.9294299450549451,0.4482758620689655,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.9430555555555555,0.5517241379310345,0.827607220039438,0.827607220039438,0.827607220039438
3,Logistic Regression: Full Dataset Raw,4,health,0.7810820768969493,0.9472477064220184,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.8628891232089702,0.9703919933277732,0.827607220039438,0.827607220039438,0.827607220039438
4,Logistic Regression: Full Dataset Raw,4,opinions,0.8660714285714286,0.30952380952380953,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.8119444444444444,0.3413978494623656,0.827607220039438,0.827607220039438,0.827607220039438
5,Logistic Regression: Full Dataset Raw,4,politics,0.8124670124670125,0.7717391304347826,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.79953628508316,0.8243815592203898,0.827607220039438,0.827607220039438,0.827607220039438
6,Logistic Regression: Full Dataset Raw,4,sport,0.9517663043478262,0.8349056603773586,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.8981571757875864,0.8726415094339623,0.827607220039438,0.827607220039438,0.827607220039438
7,Logistic Regression: Full Dataset Raw,4,style,0.0,0.0,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.0,0.0,0.827607220039438,0.827607220039438,0.827607220039438
8,Logistic Regression: Full Dataset Raw,4,travel,0.0,0.0,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.0,0.0,0.827607220039438,0.827607220039438,0.827607220039438
9,Logistic Regression: Full Dataset Raw,4,us,0.8579006739761788,0.7423076923076923,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.7893399937572869,0.6225360576923077,0.827607220039438,0.827607220039438,0.827607220039438
10,Logistic Regression: Full Dataset Raw,4,weather,0.9375,0.6521739130434783,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.847943722943723,0.7576992753623188,0.827607220039438,0.827607220039438,0.827607220039438
11,Logistic Regression: Full Dataset Raw,4,world,0.7102670733653726,0.9226190476190476,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.7520736019816833,0.9462058026803537,0.827607220039438,0.827607220039438,0.827607220039438
12,Logistic Regression: Full Dataset Raw,4,macro avg,0.6437617573082779,0.5496436698940308,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.6325348310302288,0.5695085784538156,0.827607220039438,0.827607220039438,0.827607220039438
13,Logistic Regression: Full Dataset Raw,4,weighted avg,0.8180416036294587,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.8137910085054678,0.8228258133023871,0.827607220039438,0.827607220039438,0.827607220039438,0.827607220039438
14,Logistic Regression: Derived Dataset 1,4,business,0.8999005890367147,0.9126984126984127,0.8004252733900366,0.8004252733900366,0.8004252733900366,0.9010309988332902,0.9457880813143971,0.8266970285555486,0.8266970285555486,0.8266970285555486
15,Logistic Regression: Derived Dataset 1,4,cnn,0.0,0.0,0.8004252733900366,0.8004252733900366,0.8004252733900366,0.0,0.0,0.8266970285555486,0.8266970285555486,0.8266970285555486
16,Logistic Regression: Derived Dataset 1,4,entertainment,0.7551335725677832,0.5775862068965517,0.8004252733900366,0.8004252733900366,0.8004252733900366,0.8663472540045767,0.6637931034482759,0.8266970285555486,0.8266970285555486,0.8266970285555486
17,Logistic Regression: Derived Dataset 1,4,health,0.7901942790703338,0.9587155963302754,0.8004252733900366,0.8004252733900366,0.8004252733900366,0.8587842022615108,0.9544412010008341,0.8266970285555486,0.8266970285555486,0.8266970285555486
18,Logistic Regression: Derived Dataset 1,4,opinions,0.7827528155114363,0.36904761904761907,0.8004252733900366,0.8004252733900366,0.8004252733900366,0.7823809523809524,0.3936891961085509,0.8266970285555486,0.8266970285555486,0.8266970285555486
19,Logistic Regression: Derived Dataset 1,4,politics,0.7470793219377545,0.7565217391304347,0.8004252733900366,0.8004252733900366,0.8004252733900366,0.7935130461633472,0.8242503748125937,0.8266970285555486,0.8266970285555486,0.8266970285555486
