,origin_airport_ID,dest_airport_ID,Route,Num_Flights,prop_early,prop_delayed,prop_over_15pct_delay_air,prop_over_25pct_delay_air,45_or_over_del,prop_tarmac_wait_over_5_extra
0,12892,14771,"Los Angeles, CA_San Francisco, CA",1298,0.5377503852080123,0.3682588597842835,0.288135593220339,0.25500770416024654,0.17719568567026195,0.46147919876733434
1,12892,14831,"Los Angeles, CA_San Jose, CA",427,0.5971896955503513,0.3114754098360656,0.20843091334894615,0.1686182669789227,0.03044496487119438,0.3255269320843091
2,12892,14794,"Los Angeles, CA_St. George, UT",31,0.6451612903225806,0.3548387096774194,0.2903225806451613,0.22580645161290322,0.12903225806451613,0.1935483870967742
3,12892,14747,"Los Angeles, CA_Seattle, WA",661,0.6822995461422088,0.2723146747352496,0.11043872919818457,0.06505295007564296,0.048411497730711045,0.4357034795763994
4,12892,14893,"Los Angeles, CA_Sacramento, CA",411,0.6374695863746959,0.30413625304136255,0.19951338199513383,0.15085158150851583,0.06326034063260341,0.30170316301703165
5,12892,15016,"Los Angeles, CA_St. Louis, MO",138,0.5869565217391305,0.36231884057971014,0.07246376811594203,0.036231884057971016,0.036231884057971016,0.3188405797101449
6,12892,15041,"Los Angeles, CA_Sun Valley/Hailey/Ketchum, ID",37,0.7567567567567568,0.21621621621621623,0.10810810810810811,0.10810810810810811,0.08108108108108109,0.10810810810810811
7,12892,15304,"Los Angeles, CA_Tampa, FL",59,0.3220338983050847,0.5932203389830508,0.0847457627118644,0.05084745762711865,0.0847457627118644,0.4745762711864407
8,12892,15376,"Los Angeles, CA_Tucson, AZ",226,0.6061946902654868,0.35398230088495575,0.2168141592920354,0.16371681415929204,0.0752212389380531,0.22566371681415928
9,12892,14869,"Los Angeles, CA_Salt Lake City, UT",509,0.5658153241650294,0.36345776031434185,0.21414538310412573,0.15324165029469547,0.0825147347740668,0.3143418467583497
10,12892,14698,"Los Angeles, CA_San Luis Obispo, CA",107,0.7009345794392523,0.2523364485981308,0.21495327102803738,0.19626168224299065,0.1308411214953271,0.308411214953271
11,12892,14689,"Los Angeles, CA_Santa Barbara, CA",99,0.7878787878787878,0.20202020202020202,0.18181818181818182,0.16161616161616163,0.04040404040404041,0.45454545454545453
12,12892,11292,"Los Angeles, CA_Denver, CO",568,0.5897887323943662,0.3538732394366197,0.15492957746478872,0.10387323943661972,0.05985915492957746,0.22183098591549297
13,12892,11298,"Los Angeles, CA_Dallas/Fort Worth, TX",582,0.5790378006872853,0.3539518900343643,0.09450171821305842,0.054982817869415807,0.03951890034364261,0.38144329896907214
14,12892,11433,"Los Angeles, CA_Detroit, MI",202,0.4603960396039604,0.48514851485148514,0.07425742574257425,0.024752475247524754,0.054455445544554455,0.32673267326732675
15,12892,11057,"Los Angeles, CA_Charlotte, NC",186,0.5806451612903226,0.3655913978494624,0.05913978494623656,0.03225806451612903,0.053763440860215055,0.41397849462365593
16,12892,11066,"Los Angeles, CA_Columbus, OH",77,0.6753246753246753,0.22077922077922077,0.07792207792207792,0.03896103896103896,0.05194805194805195,0.22077922077922077
17,12892,11109,"Los Angeles, CA_Colorado Springs, CO",58,0.7068965517241379,0.27586206896551724,0.1896551724137931,0.15517241379310345,0.1206896551724138,0.27586206896551724
18,12892,11193,"Los Angeles, CA_Cincinnati, OH",49,0.3469387755102041,0.5306122448979592,0.1836734693877551,0.08163265306122448,0.14285714285714285,0.42857142857142855
19,12892,11259,"Los Angeles, CA_Dallas, TX",238,0.5546218487394958,0.38235294117647056,0.13025210084033614,0.07563025210084033,0.058823529411764705,0.19327731092436976
20,12892,11278,"Los Angeles, CA_Washington, DC",393,0.6564885496183206,0.27735368956743,0.04071246819338423,0.020356234096692113,0.035623409669211195,0.35368956743002544
21,12892,11503,"Los Angeles, CA_Eagle, CO",35,0.7428571428571429,0.22857142857142856,0.2,0.17142857142857143,0.11428571428571428,0.4
22,12892,12173,"Los Angeles, CA_Honolulu, HI",447,0.5369127516778524,0.407158836689038,0.042505592841163314,0.029082774049217,0.042505592841163314,0.3668903803131991
23,12892,12094,"Los Angeles, CA_Hayden, CO",31,0.6774193548387096,0.3225806451612903,0.25806451612903225,0.22580645161290322,0.16129032258064516,0.12903225806451613
24,12892,12191,"Los Angeles, CA_Houston, TX",520,0.6557692307692308,0.3192307692307692,0.06923076923076923,0.04423076923076923,0.04038461538461539,0.24807692307692308
25,12892,11697,"Los Angeles, CA_Fort Lauderdale, FL",177,0.576271186440678,0.3785310734463277,0.0903954802259887,0.05649717514124294,0.0847457627118644,0.2937853107344633
26,12892,11540,"Los Angeles, CA_El Paso, TX",68,0.45588235294117646,0.47058823529411764,0.19117647058823528,0.1323529411764706,0.10294117647058823,0.17647058823529413
27,12892,11603,"Los Angeles, CA_Eugene, OR",61,0.5737704918032787,0.3770491803278688,0.3114754098360656,0.29508196721311475,0.19672131147540983,0.4426229508196721
28,12892,11618,"Los Angeles, CA_Newark, NJ",349,0.6962750716332379,0.2636103151862464,0.06017191977077364,0.02865329512893983,0.05730659025787966,0.27793696275071633
29,12892,11638,"Los Angeles, CA_Fresno, CA",209,0.6842105263157895,0.2966507177033493,0.22966507177033493,0.19617224880382775,0.11961722488038277,0.5406698564593302
30,12892,11042,"Los Angeles, CA_Cleveland, OH",86,0.8023255813953488,0.19767441860465115,0.046511627906976744,0.023255813953488372,0.03488372093023256,0.10465116279069768
31,12892,10372,"Los Angeles, CA_Aspen, CO",160,0.575,0.36875,0.2625,0.25,0.20625,0.3875
